Games,Basement,Level One,The Loft,Bilingual,Back-up?,Pieces,Category,Hidden,Notes,URL
Bob Ross: Happy Little Accidents,,-,D4,,,,Party,,,https://boardgamegeek.com/boardgame/256536/bob-ross-happy-little-accidents
Bob Ross: The Art of Chill,,-,M3,,,,Light Strategy,,,https://boardgamegeek.com/boardgame/231696/bob-ross-art-of-chill-game
Boggle,,-,Y2,,,,Family,,,https://boardgamegeek.com/boardgame/1293/boggle
"Boggle, Super Big",,5F,-,,,,Family,,,https://boardgamegeek.com/boardgame/130705/super-big-boggle
Bohnanza,,5D,Loft SG - 85,(En/Fr),,Y,Light Strategy,,,https://boardgamegeek.com/boardgame/11/bohnanza
Bohnaza: The Duel,-,-,i2,,,,Two Player,,,https://boardgamegeek.com/boardgame/205867/bohnanza-the-duel
Bold,,Overflow,Overflow,(En/Fr),,,Light Strategy,,,https://boardgamegeek.com/boardgame/220198/bold
Bomb Busters,-,14,-,,,,Cooperative / New / Strategy,,,https://boardgamegeek.com/boardgame/413246/bomb-busters
Bomb Squad Academy (Français),,Overflow,Overflow,(En/Fr),,,Light Strategy,,,https://www.lillojeux.ca/boutique/jeux-de-societe/bomb-squad-academy/
Bonsai,DB,-,-,,,,Light Strategy,,,https://boardgamegeek.com/boardgame/366994/bonsai
Boo-ty Call,,13E,-,,,,Adult,,,https://boardgamegeek.com/boardgame/362888/boo-ty-call
boop.,AA,2D,i3,,,,Two Player,,,https://boardgamegeek.com/boardgame/355433/boop
Bosk,-,-,M2,(En/Fr),,,Light Strategy,,,https://boardgamegeek.com/boardgame/252556/bosk
Boss Monster,,5E,Loft SG - 86,,,Y,Light Strategy,,,https://boardgamegeek.com/boardgame/131835/boss-monster-dungeon-building-card-game
Boss Monster 2,,-,Loft SG - 86,,,Y,Light Strategy,,,https://boardgamegeek.com/boardgame/174973/boss-monster-2-next-level
Boss Monster: Rise of the Mini Boss,,-,Loft SG - 86,,,,Light Strategy,,,https://boardgamegeek.com/boardgame/246855/boss-monster-rise-of-the-minibosses
Botanik,-,Overflow,Overflow,(En/Fr),,,Two Player,,,https://boardgamegeek.com/boardgame/271529/botanik
Bottle Imp,Overflow,Overflow,Overflow,,,,Family,,,https://boardgamegeek.com/boardgame/619/bottle-imp
Box of Rocks,iC,-,Y4,,,,Trivia,,,https://boardgamegeek.com/boardgame/202737/are-you-dumber-box-rocks
Brain Freeze NSFW,,13A,-,,,,Adult,,,https://boardgamegeek.com/boardgame/339976/brain-freeze
Braintopia / Cortex Challenge,,Lvl1 SG - 52,Loft SG - 86,,,Y,Party,,,https://boardgamegeek.com/boardgame/206175/braintopia
Braintopia: Kids,,-,Loft SG - 86,,,,Family,,,https://boardgamegeek.com/boardgame/251482/braintopia-kids
Brass: Birmingham,,-,S2,(En/Fr),,,Strategy,,,https://boardgamegeek.com/boardgame/224517/brass-birmingham
Brave Rats,-,-,i2,,,,Two Player,,,https://boardgamegeek.com/boardgame/112373/braverats
Brew,,8F,-,,,,Strategy,,,https://boardgamegeek.com/boardgame/332386/brew
Bridge Troll,,Overflow,Overflow,,,,Family,,,https://boardgamegeek.com/boardgame/40235/bridge-troll
Brilliants / Fourmidable,,-,Top Shelf,(En/Fr),,,Family,,,https://boardgamegeek.com/boardgame/181265/brilliants
Broadsides,-,Overflow,Overflow,,,,Two Player,,,https://boardgamegeek.com/boardgame/197285/merchants-marauders-broadsides
Broom Service,,-,S3,(En/Fr),,,Strategy,,,https://boardgamegeek.com/boardgame/172308/broom-service
Buffalo,,-,Loft SG - 95,,,,Party,,,https://boardgamegeek.com/boardgame/127505/buffalo
Buffy the Vampire Slayer: The Board Game,-,-,L5,,,,Light Strategy,,,https://boardgamegeek.com/boardgame/203102/buffy-vampire-slayer-board-game
Bunny Kingdom,CB,-,-,,,,Strategy,,,https://boardgamegeek.com/boardgame/184921/bunny-kingdom
Bus,,-,S4,(En/Fr),,,Strategy,,,https://boardgamegeek.com/boardgame/552/bus
But Wait there's More,HB,-,-,,,,Party,,,https://boardgamegeek.com/boardgame/114438/but-wait-theres-more
Butteryfly Garden,-,5E,-,,,,Light Strategy,,,https://boardgamegeek.com/boardgame/116954/butterfly-garden
Butts on Things,DC,-,-,,,,Party,,,https://boardgamegeek.com/boardgame/380889/butts-things
Buzzword,,-,B5,,,,Party,,,https://boardgamegeek.com/boardgame/8690/buzzword
C.S.I. Miami,Overflow,Overflow,Overflow,,,,Light Strategy,,,https://boardgamegeek.com/boardgame/18736/csi-miami
Cacao,,-,S1,(En/Fr),,,Strategy,,,https://boardgamegeek.com/boardgame/171499/cacao
Caffiene Rush,,Overflow,Overflow,,,,Light Strategy,,,https://boardgamegeek.com/boardgame/156599/caffeine-rush
Caldera Park,DD,-,-,,,,Light Strategy,,,https://boardgamegeek.com/boardgame/367047/caldera-park
Calico,-,5C,-,(En/Fr),,,Two Player,,,https://boardgamegeek.com/boardgame/283155/calico
California,,-,Fireplace,(En/Fr),,,Light Strategy,,,https://boardgamegeek.com/boardgame/21464/california
Caligula,,-,Vestibule,(En/Fr),,,Strategy,,,https://boardgamegeek.com/boardgame/50862/caligula
